"Date","SiteID","PlotID","TreeID","Height","Blank.Num","SampleID","Flitch.Max.Ring","Blank.Min.Ring","Blank.Max.Ring","Clear.Adj"
2017-10-25,"TW","1","1-44",4.5,1,"TW-1-44-1",88,0,20,0.4
2017-10-25,"TW","1","1-44",4.5,2,"TW-1-44-2",88,21,57,0.05
2017-10-25,"TW","1","1-44",4.5,3,"TW-1-44-3",88,59,82,0
2017-09-20,"TW","1","1-146",4.5,1,"TW-1-146-1",85,0,10,0.25
2017-09-20,"TW","1","1-146",4.5,2,"TW-1-146-2",85,12,29,0.45
2017-09-20,"TW","1","1-146",4.5,3,"TW-1-146-3",85,31,49,0.6
2017-09-20,"TW","1","1-146",4.5,4,"TW-1-146-4",85,51,80,0
2017-09-16,"TW","1","1-188",4.5,1,"TW-1-188-1",86,0,11,0.9
2017-09-16,"TW","1","1-188",4.5,2,"TW-1-188-2",86,12,29,0.25
2017-09-16,"TW","1","1-188",4.5,3,"TW-1-188-3",86,32,46,0.4
2017-09-16,"TW","1","1-188",4.5,4,"TW-1-188-4",86,49,70,0
2017-09-16,"TW","2","2-119",4.5,1,"TW-2-119-1",87,0,16,1
2017-09-16,"TW","2","2-119",4.5,2,"TW-2-119-2",87,19,39,0
2017-09-16,"TW","2","2-119",4.5,3,"TW-2-119-3",87,41,57,0.2
2017-09-16,"TW","2","2-119",4.5,4,"TW-2-119-4",87,60,79,0.15
2017-09-04,"TW","2","2-211",4.5,1,"TW-2-211-1",82,0,14,1
2017-09-04,"TW","2","2-211",4.5,2,"TW-2-211-2",82,15,36,1.1
2017-09-04,"TW","2","2-211",4.5,3,"TW-2-211-3",82,39,61,0
2017-08-30,"TW","2","2-316",4.5,1,"TW-2-316-1",84,0,10,1
2017-08-30,"TW","2","2-316",4.5,2,"TW-2-316-2",84,11,37,0.5
2017-08-30,"TW","2","2-316",4.5,3,"TW-2-316-3",84,38,58,0
2017-10-02,"TW","3","3-152",4.5,1,"TW-3-152-1",79,0,13,0
2017-10-02,"TW","3","3-152",4.5,2,"TW-3-152-2",79,14,32,0.1
2017-10-02,"TW","3","3-152",4.5,3,"TW-3-152-3",79,33,46,0.1
2017-10-02,"TW","3","3-152",4.5,4,"TW-3-152-4",79,48,60,0
2017-10-02,"TW","3","3-152",4.5,5,"TW-3-152-5",79,62,79,0.95
2017-08-30,"TW","3","3-192",4.5,1,"TW-3-192-1",84,0,10,0.5
2017-08-30,"TW","3","3-192",4.5,2,"TW-3-192-2",84,12,34,0.5
2017-08-30,"TW","3","3-192",4.5,3,"TW-3-192-3",84,38,51,0
2017-08-30,"TW","3","3-192",4.5,4,"TW-3-192-4",84,54,75,0
2017-08-30,"TW","3","3-216",4.5,1,"TW-3-216-1",88,0,23,0.8
2017-08-30,"TW","3","3-216",4.5,2,"TW-3-216-2",88,28,42,0.8
2017-08-30,"TW","3","3-216",4.5,3,"TW-3-216-3",88,45,57,0
2017-08-30,"TW","3","3-216",4.5,4,"TW-3-216-4",88,59,75,1.1
2017-08-30,"TW","4","4-327",4.5,1,"TW-4-327-1",74,0,24,1
2017-08-30,"TW","4","4-327",4.5,2,"TW-4-327-2",74,29,52,0
2017-08-30,"TW","4","4-434",4.5,1,"TW-4-434-1",75,0,20,0.75
2017-08-30,"TW","4","4-434",4.5,2,"TW-4-434-2",75,24,60,0
2017-08-30,"TW","4","4-472",4.5,1,"TW-4-472-1",67,0,12,0
2017-08-30,"TW","4","4-472",4.5,2,"TW-4-472-2",67,12,37,0
2017-08-30,"TW","5","5-235",4.5,1,"TW-5-235-1",87,0,40,0
2017-08-30,"TW","5","5-235",4.5,2,"TW-5-235-2",87,44,81,0
2017-09-20,"TW","5","5-366",4.5,1,"TW-5-366-1",76,0,23,0.05
2017-09-20,"TW","5","5-366",4.5,2,"TW-5-366-2",76,28,44,0.5
2017-09-20,"TW","5","5-366",4.5,3,"TW-5-366-3",76,51,76,0
2017-09-20,"TW","5","5-403",4.5,1,"TW-5-403-1",79,0,29,0.35
2017-09-20,"TW","5","5-403",4.5,2,"TW-5-403-2",79,31,47,0.05
2017-09-20,"TW","5","5-403",4.5,3,"TW-5-403-3",79,49,69,0
2017-10-29,"TW","6","6-149",4.5,1,"TW-6-149-1",77,0,19,0.2
2017-10-29,"TW","6","6-149",4.5,2,"TW-6-149-2",77,21,43,0
2017-10-29,"TW","6","6-149",4.5,3,"TW-6-149-3",77,46,77,0
2017-09-16,"TW","6","6-237",4.5,1,"TW-6-237-1",79,0,16,0.05
2017-09-16,"TW","6","6-237",4.5,2,"TW-6-237-2",79,20,42,0
2017-09-16,"TW","6","6-237",4.5,3,"TW-6-237-3",79,44,65,0.05
